en_core_web_sm,fr_core_news_sm
we re not killers .,nous ne sommes pas des tueurs .
they re not always right .,ils n ont pas toujours raison .
i m thankful for vacations .,je suis content de pouvoir profiter des vacances .
i m proud of being a doctor .,je suis fier d etre docteur .
they are running in the park .,elles courent dans le parc .
he s three years older than her .,il est plus vieux qu elle de ans .
he is known as a great painter .,il est connu comme un grand peintre .
i m not sure that you re ready .,je ne suis pas sur que vous soyez prets .
he is a simple man .,c est un homme simple .
you re not supposed to be smoking in here .,tu n es pas cense fumer ici .
you re really incredible .,vous etes vraiment incroyables .
he isn t any older than i thought .,il n est pas plus vieux que ce que je pensais .
she is aggressive .,elle est agressive .
you re not alone anymore .,vous n etes plus seul .
i m very proud of our students .,je suis tres fier de nos etudiants .
i m not the only one who s planning to do that .,je ne suis pas le seul a prevoir de le faire .
i m staying with you .,je reste avec toi .
he is sure to pass the exam if he studies at this rate .,il est certain de reussir l examen s il etudie a ce rythme .
i m about the same age as you are .,j ai a peu pres le meme age que toi .
we re not that stupid .,nous ne sommes pas si stupides .
she s only going to tell you what she thinks you want to hear .,elle ne te dira que ce qu elle pense que tu veux entendre .
we re not mad .,nous ne sommes pas folles .
i m going to miss this place .,cet endroit va me manquer .
i m getting a lot of complaints .,je recueille de nombreuses plaintes .
i m disappointed .,je suis decu .
i am interested in music .,j ai de l interet pour la musique .
i am against working on sundays .,je suis contre le travail du dimanche .
i m not a disbeliever .,je ne suis pas incroyant .
i m looking for a bag for my wife .,je cherche un sac pour ma femme .
i m not in the mood to go downtown .,je ne suis pas d humeur a aller au centre ville .
i m a bad singer .,je chante mal .
you re my best customer .,vous etes mon meilleur client .
i m afraid he cannot come .,je crains qu il ne puisse venir .
i am looking forward to your letter .,j attends impatiemment ta lettre .
they re able students .,ce sont des etudiants capables .
you re fascinating .,vous etes fascinant .
i m surprised that your family has a japanese car .,je suis etonnee que votre famille ait une voiture japonaise .
i m going to tell you what i think .,je vais vous dire ce que je pense .
you re just a little homesick .,tu as juste un peu le mal du pays .
i m not invincible .,je ne suis pas invincible .
she is more of an acquaintance than a friend .,c est plus une connaissance qu une amie .
you are a bad person .,tu es un etre mauvais .
i m not here .,je ne suis pas ici .
they re all normal .,ils sont tous normaux .
i m brave .,je suis brave .
we are going to his house . want to come with ?,nous nous rendons a sa maison . voulez vous vous joindre ?
you re a clever kid .,tu es un enfant intelligent .
i m not ready to die .,je ne suis pas pret a mourir .
we re touched .,nous sommes touchees .
i m going shopping this afternoon . would you like to come along ?,je vais faire les boutiques cet apres midi . tu veux m accompagner ?
i m fighting .,je me bats .
i m not an early riser .,je me leve tard le matin .
you are not allowed to turn left on this street .,on n a pas le droit de tourner a gauche dans cette rue .
you re no saint either .,tu n es pas non plus un saint .
i m sorry . i ll do anything to make this right .,je suis desole . je ferai n importe quoi pour reparer cela .
i m willing to help you with your work .,je suis pret a vous aider dans votre travail .
they re all waiting .,ils attendent tous .
you re a good liar .,tu es bon menteur .
you re too skinny .,tu es trop maigrichon .
you re not a teenager yet .,tu n es pas encore adolescent .
you re opportunistic .,tu es une opportuniste .
i m lazy .,je suis paresseux .
i m expecting a call .,j attends un appel .
you re too big .,vous etes trop grand .
you re all i ve got .,tu es tout ce que j ai .
i am off today .,je suis en conge aujourd hui .
i m going downtown .,je me rends en ville .
she s very tall .,elle est tres grande .
you aren t in any danger .,vous n etes pas en danger .
i m a farmer .,je travaille dans ma ferme .
i m allowing you to go .,je vous autorise a y aller .
we re both fine .,nous allons bien toutes les deux .
you re overreacting .,tu dramatises .
you re resourceful .,tu es plein de ressources .
i m sorry i ruined your wedding .,desole d avoir gache ton mariage .
she is a most beautiful lady .,c est une tres belle dame .
i m color blind .,je suis daltonien .
you re nuts !,t es givree !
i m not sure i have time for that .,je ne suis pas sure d avoir le temps pour ca .
i m not going .,je n y vais pas .
you re safe .,vous etes sauves .
i m surprised to see you again .,je suis surpris de vous revoir .
we re depressed .,nous sommes deprimes .
we re so proud of you !,nous sommes tellement fiers de toi !
i m too tired to help .,je suis trop fatiguee pour aider .
i m sick of listening to your complaints .,je suis fatigue d ecouter tes plaintes .
he is in trouble .,il a des problemes .
i m giving it back .,je la rends .
i m the one who should be doing this .,c est moi qui devrais faire ceci .
i m not the one you should be scared of .,je ne suis pas celle qui devrait vous effrayer .
they re quiet .,elles sont tranquilles .
i m the type who likes to think things over very carefully .,je suis de ceux qui aiment reflechir aux choses avec beaucoup d attention .
she s about the same age as my older sister .,elle a a peu pres le meme age que ma s ur ainee .
i m terrified .,je suis terrifie .
i m very grateful to you for your help .,je vous suis tres reconnaissant de votre aide .
you re not allowed to swim here .,tu n es pas autorise a nager ici .
they re trying .,ils essaient .
i m not scared of women .,je n ai pas peur des femmes .
i m not going to repeat myself .,je ne vais pas me repeter .
you are a good person .,t es un mec bien .
i am hungry because i did not eat breakfast .,j ai faim parce que je n avais pas pris de petit dejeuner .
she is just a wallflower .,elle est juste decorative .
i am familiar with your name .,votre nom m est familier .
i m here to listen .,je suis ici pour ecouter .
you re scaring the kids .,tu effraies les enfants .
you re still green .,vous etes encore inexperimente .
i m glad you see it that way .,je me rejouis que tu le voies ainsi .
they re not criminals .,ce ne sont pas des criminels .
i m already married .,je suis deja mariee .
i m not going and that s that .,je n y vais pas et puis c est tout .
i m expecting .,je suis enceinte .
he is a wolf in sheep s clothing .,c est un loup deguise en agneau .
i m thankful for technology .,je suis reconnaissant de pouvoir disposer de la technologie .
he is writing a letter to his parents now .,il est en train d ecrire une lettre a ses parents .
i m pretty sure tom s reliable .,je suis pratiquement sur qu on peut faire confiance a tom .
we re about ready .,nous sommes pour ainsi dire prets .
i m getting a new house built .,je me fais construire une nouvelle maison .
i m thinking of the plan .,je songe au projet .
you re not helping me .,tu ne m aides pas .
you re very observant .,vous etes tres observatrice .
he is popular with everybody .,il est populaire aupres de tout le monde .
i m going to fix it myself .,je vais le reparer moi meme .
i m accustomed to this .,j y suis habitue .
i m going to hang up now .,je vais maintenant raccrocher .
we are liable for the damage .,nous sommes responsables en cas de degats .
i m quite happy .,je suis assez heureuse .
he s after me .,il est apres mes fesses .
i m not a drunk .,je ne suis pas une ivrogne .
i m not any more to blame than you are .,je n y suis pour rien pas plus que toi .
i m here to talk about tom .,je suis ici pour parler de tom .
i m going for a run . do you want to come ?,je vais courir . voulez vous venir ?
i m not finished talking to you yet .,je n ai pas encore fini de vous parler .
i m sure you don t want to do that .,je suis certaine que ce n est pas la ce que tu veux faire .
she is well liked by everyone .,elle est appreciee de tout le monde .
i m not the one who told tom to leave .,je ne suis pas celui qui a dit a tom de partir .
i m used to this sort of thing .,je suis habitue a ce genre de choses .
you aren t listening to what i m saying .,tu n ecoutes pas ce que je dis .
i m too tired to work .,je suis trop fatigue pour travailler .
i m going to give you one more chance .,je vais vous donner une chance additionnelle .
i m worth more than this .,je vaux mieux que ca .
i m not planning to do that today .,je n ai pas l intention de le faire aujourd hui .
he is fond of this kind of music .,il aime ce genre de musique .
we re not welcome .,nous ne sommes pas les bienvenus .
he is used to such situations .,il a l habitude de ce genre de situation .
we are decorating the conference room .,nous sommes en train de decorer la salle de conferences .
i m a very careful person .,je suis une personne tres prudente .
i am going to do it whether you agree or not .,je vais le faire que tu sois d accord ou pas .
you aren t ready for this .,vous n etes pas pret pour ceci .
you re no fun anymore .,vous n etes plus amusants .
she is really a nice girl .,c est vraiment une gentille fille .
i m going to teach you a lesson .,je vais vous donner une lecon .
i m doing it in spite of you .,je le fais malgre toi .
we are glad to help you .,nous sommes heureux de vous aider .
i m not afraid of your dog .,je n ai pas peur de votre chien .
you re the same age as my son .,tu as le meme age que mon fils .
she is old enough to travel by herself .,elle est assez grande pour voyager toute seule .
they re going to find you .,ils vont te trouver .
we re unhappy .,nous ne sommes pas satisfaits .
he s waiting for you at home .,il vous attend chez lui .
i m just tired .,je suis seulement fatigue .
he s out now .,il est actuellement a l exterieur .
you re big .,tu es grand .
he is rich but his older brother is poor .,il est riche mais son frere aine est pauvre .
i am taking french next year .,je prends francais l annee prochaine .
i m not worried about anything .,rien ne me soucie .
i m immediately behind her .,je me trouve juste derriere elle .
i m adamant that you should go .,j insiste que vous devez partir .
we re flying to boston on monday .,nous prenons l avion pour boston lundi .
they re going to hang tom .,ils vont pendre tom .
they re after you .,ils sont apres toi .
i m not arguing .,je ne me dispute pas .
he s an opera lover .,c est un inconditionnel de l opera .
i m sure it won t be easy to do that .,je suis sur que ce ne sera pas facile a faire .
you re in love .,vous etes amoureuse .
you re the last person i expected to see here .,tu es la derniere personne que je m attendais a voir ici .
he isn t at home .,il n est pas a la maison .
i m all done .,j ai tout termine .
she is trying to lose weight .,elle essaie de perdre du poids .
he s waiting for you at home .,il t attend chez lui .
you re so mean .,tu es si mechant .
he isn t back from the mountain .,il n est pas revenu de la montagne .
she s no spring chicken .,ce n est pas un lapin de six semaines .
i m looking forward to seeing you dance .,je me rejouis de vous voir danser .
i m sorry if i frightened you .,je suis desolee si je vous ai effraye .
you re very clever .,vous etes fort ingenieuses .
i m feeling sort of tired .,je me sens plutot fatigue .
he s an expert at throwing knives .,c est un expert du lancer de couteaux .
i m unable to do this .,je suis incapable de faire ceci .
you re not totally blameless .,tu n es pas totalement irreprochable .
he s a nonsmoker .,il est non fumeur .
i m not done with you yet .,moi je n en ai pas encore fini avec toi .
he is sitting on the chair .,il est assis sur la chaise .
she is the editor in chief .,elle est l editeur en chef .
i m happy for you both .,je suis heureuse pour vous deux .
i m beginning to lose patience with tom .,je commence a perdre patience avec tom .
i m chubby .,je suis grassouillette .
we re headed in the right direction .,nous nous dirigeons dans la bonne direction .
i m not really worried about that .,je ne suis pas vraiment inquiete a ce sujet .
you re missing the point .,vous passez a cote .
they re acting on their own .,elles agissent de leur propre chef .
he is a man of character .,c est un homme de caractere .
you re sleepy .,vous etes endormie .
i m always dropping things .,je laisse toujours tomber des choses .
i m starting to get used to the dark .,je commence a m habituer a l obscurite .
he s a gambler .,c est un joueur .
you re popular .,vous etes populaire .
you re really awesome .,vous etes vraiment geniaux .
i m not sure i follow what you re saying .,je ne suis pas sure de suivre ce que tu dis .
i am going to study english this afternoon .,je vais etudier l anglais cet apres midi .
they re eating dinner now in the dining room .,elles dejeunent maintenant dans la salle a manger .
he s a fast walker .,c est un marcheur rapide .
they re all against me .,ils sont tous contre moi .
i m the one who suggested that .,je suis celui qui a suggere cela .
i m glad you decided to come .,je me rejouis que vous vous soyez decidees a venir .
you re no different .,tu n es pas different .
i m too tired to do that .,je suis trop fatiguee pour faire ca .
they re surprised .,elles sont surprises .
we re glad to see you .,on est contents de te voir .
we re going to the country .,nous allons a la campagne .
i m talking .,je suis en train de discuter .
he s always at home on sundays .,il est toujours chez lui le dimanche .
he is making cookies .,il est en train de faire des cookies .
they are pilots .,ils sont pilotes .
i m not thinking clearly .,mes pensees ne sont pas claires .
he is devoid of human feeling .,il est depourvu de sentiments humains .
you re the one who suggested buying this computer .,c est toi qui as suggere d acheter cet ordinateur .
i m not used to this kind of work .,je ne suis pas habituee a ce genre de travail .
you re in a strange mood today .,tu es d une humeur etrange aujourd hui .
i m going with tom .,je vais avec tom .
i m going to jump .,je vais sauter .
i m a little thirsty .,j ai un peu soif .
you re old enough to know better .,tu devrais le savoir a ton age .
you re repeating yourself .,tu te repetes .
i m very surprised to see that .,je suis tres etonne de voir ca .
you re the best singer i know .,tu es la meilleure chanteuse que je connaisse .
he is very good looking .,il est tres beau .
i m sorry for you .,je suis desole pour vous .
they re having a going out of business sale .,ils ont une liquidation .
i m rather busy .,je suis plutot occupe .
you re not supposed to do that are you ?,vous n etes pas censes faire cela n est ce pas ?
he s bound to notice your mistake .,il est force de remarquer votre erreur .
i m going to fix some dinner .,je vais preparer a dejeuner .
i m never angry without reason .,je ne suis jamais en colere sans raison .
you re not tired are you ?,vous n etes pas fatigues si ?
you re my kid s teacher .,tu es l instituteur de mon enfant .
he s out of town .,il n est pas en ville .
you aren t really going to join the army are you ?,tu ne vas pas vraiment t enroler dans l armee si ?
i m just trying to survive .,j essaye juste de survivre .
he is willing enough .,il a suffisamment de volonte .
you re both pretty .,vous etes toutes les deux jolies .
i m lucky to have you as a friend .,je suis chanceux de t avoir comme amie .
you re careful .,tu es prudent .
we re finished here .,nous en avons fini ici .
we re boiling water .,nous sommes en train de bouillir de l eau .
we re finished .,nous en avons termine .
he s hiding in the closet .,il se cache dans le placard .
you re very good .,tu es fort bon .
he is studying history at the university .,il etudie l histoire a l universite .
i m not sure i d want to live here .,je ne suis pas certaine que je voudrais vivre ici .
i m not going to stop .,je ne vais pas m arreter .
he is as great a poet as ever lived .,il fait partie des plus grands poetes de tous les temps .
you aren t as short as i am .,vous n etes pas aussi petite que moi .
you are naughty .,vous etes vilaine .
i m still in shape .,je suis toujours en forme .
i am an artist .,je suis un artiste .
she is knitting a sweater .,elle tricote un chandail .
i m leaving now .,je pars maintenant .
you re crafty .,vous etes rusee .
you re too old .,tu es trop vieux .
i m good for now .,c est bon pour moi pour l instant .
i m calling tom .,j appelle tom .
i m coming with you .,je viens avec toi .
you re double parked .,tu es gare en double file .
i m using wireless headphones .,j utilise un casque sans fil .
they re after you .,elles sont apres vous .
you re very brave .,vous etes fort braves .
we aren t sure .,nous ne sommes pas surs .
i m getting kind of hungry . let s go get something to eat .,je commence a avoir faim . allons prendre quelque chose a manger !
she is happiest when she is at home .,c est chez elle qu elle est la plus heureuse .
you are a doctor .,tu es toubib .
she is always finding fault with other people .,elle trouve toujours a redire aux autres .
you re grounded .,tu es terre a terre .
i m rational .,je suis rationnel .
i m sorry i bumped into you .,pardon de vous avoir bouscule .
he is to come here at six o clock .,il doit venir ici a six heures .
i m not allowed to talk about that .,je ne suis pas autorisee a parler de ca .
i m not happy about the situation .,je ne suis pas heureux de la situation .
we re confident .,nous avons confiance .
i m sorry that i couldn t help you .,je suis desolee de ne pas avoir pu vous aider .
he is accustomed to working hard .,il a l habitude de travailler dur .
i am reading a magazine .,je lis un magazine .
we re plastered .,nous sommes bourres .
i m surprised no one else heard the gunshots .,je suis surprise que personne d autre n ait entendu les detonations .
i m just a normal guy .,je suis juste un type normal .
you re fortunate .,tu es chanceux .
i m tough .,je suis dur .
he is without doubt the most successful movie director in the world .,il est sans aucun doute le metteur en scene de films le plus apprecie dans le monde .
you re very rude .,vous etes tres grossier .
i m used to people not agreeing with me .,je suis habitue a ce que les gens ne soient pas d accord avec moi .
you re out of excuses .,tu n as plus d excuses .
i m speaking to you as a friend .,je te parle en tant qu ami .
you re very wise .,vous etes fort sage .
she s innocent .,elle est ingenue .
you re not very funny .,tu n es pas tres amusante .
he is still in bed .,il est encore au lit .
you re wise .,vous etes raisonnables .
i m going to prison .,je vais en prison .
we re still shopping around .,nous faisons encore des courses .
i m through .,j en ai fini .
we re trying to cut down expenses .,nous tentons de reduire les depenses .
we re going shopping .,nous allons faire des courses .
i m glad you re here to help me with this .,je suis content que tu sois ici pour m aider avec ca .
he s at church right now .,il est a l eglise en ce moment .
you re far too young to be doing this .,vous etes bien trop jeune pour faire ceci .
i am not happy with my job .,je ne suis pas heureux dans mon travail .
i m crazy .,je suis folle .
you re lucky you didn t die .,vous avez de la chance de ne pas etre mort .
she s busy now so she can t talk with you .,elle est occupee a l heure qu il est donc elle ne peut pas te parler .
i m an extremely humble person .,je suis une personne extremement humble .
you re a funny man tom .,vous etes un homme drole tom .
you re in the right place .,tu es au bon endroit .
she s such a lovely girl !,c est une fille si adorable !
i m important .,je suis important .
i m slightly hungry .,j ai legerement faim .
you re not being rational .,vous n etes pas rationnelles .
i m angry .,je suis enerve .
you re silly .,tu es idiote .
we re normal .,nous sommes normales .
i m a child .,je suis un enfant .
i m a bit short of money now .,je suis un peu a court d argent en ce moment .
she s teaching us french .,elle nous apprend le francais .
i m going back .,j y retourne .
i m saving this seat for tom .,je garde ce siege pour tom .
you re a very important person to me .,tu es une personne tres importante pour moi .
i m skinny .,je suis maigrichon .
i m afraid i can t let you do that .,j ai peur de ne pas pouvoir te laisser faire ca .
i m thankful for my children .,je suis reconnaissant d avoir mes enfants .
i m going to be sick .,je vais etre malade .
i m a new student .,je suis un nouvel eleve .
i am taking my son to the zoo this afternoon .,j emmene mon fils au zoo cet apres midi .
we re high school students .,nous sommes lyceens .
he s busy and can t meet with you .,puisqu il est occupe il ne peut pas vous rencontrer .
she s about the same age as my sister .,elle a a peu pres le meme age que ma s ur .
i m trying to learn french .,j essaye d apprendre le francais .
they re fearless .,elles n ont peur de rien .
she is always smoking .,elle est toujours a fumer .
i m unambitious .,je suis depourvue d ambition .
i am ashamed of your conduct .,j ai honte de votre conduite .
i m the one who built this .,je suis celui qui a construit ceci .
i m sorry that i didn t believe you .,je suis desole de ne pas t avoir cru .
you re selfish .,vous etes egoistes .
i m boiling water .,je suis en train de bouillir de l eau .
you re fired ! you have an hour to clean out your office .,tu es vire ! tu as une heure pour vider ton bureau .
we aren t that poor .,nous ne sommes pas si pauvres .
i m afraid it s not that simple .,je crains que ce ne soit pas si simple .
i m asking you as a friend .,je vous le demande en tant qu amie .
you re a menace .,vous etes une menace .
i m unarmed .,je suis desarme .
he s thrilled with his new job .,il est enthousiasme par son nouveau travail .
i m going to find a place of my own .,je vais me trouver un endroit a moi .
i m not good at french .,je ne suis pas bonne en francais .
i m not finished with you .,je n en ai pas fini avec vous .
you re ambitious .,vous etes ambitieux .
he is anything but honest .,il est tout sauf honnete .
he s feeling really low .,il a le moral tres bas .
she is crying .,elle est en train de pleurer .
he s not allowed to leave the country .,il n est pas autorise a quitter le pays .
i am afraid of what the teacher will say .,j ai peur de ce que l instituteur dira .
i m not sure that you re ready .,je ne suis pas sur que vous soyez prete .
we re going to the movies .,nous nous rendons au cinema .
i m just glad everything worked out .,je suis content que tout se soit bien passe .
he is a good student .,c est un bon etudiant .
she s eating fruit .,elle est en train de manger des fruits .
we re all devastated .,nous sommes tous aneantis .
you re not fit .,vous ne convenez pas .
you re back again .,vous etes a nouveau de retour .
i m going to ask you to do your duty .,je vais vous demander de faire votre devoir .
you re a good actor .,tu es un bon acteur .
i m a little scared .,j ai un peu peur .
you re not a child anymore .,tu n es plus un bebe .
you re sarcastic .,vous etes sarcastique .
i m fairly certain that tom and mary have both already done that .,je suis presque certaine qu aussi bien tom que marie l ont deja fait .
i am very much obliged to you for your help .,je vous suis tres reconnaissant de votre aide .
you re always complaining about something .,tu rales toujours apres quelque chose .
you re half right .,tu as a moitie raison .
you re the one who trained me .,tu es celle qui m a forme .
they are willing to help us out .,ils veulent bien nous aider .
you are so childish sometimes .,vous etes parfois si puerils .
she is everything to him .,elle est tout pour lui .
i m allergic to seafood .,je suis allergique aux fruits de mer .
you re probably tired after such a long flight .,tu es probablement fatiguee apres un vol aussi long .
you re resilient .,tu es tenace .
we re going to have to make some very tough choices .,nous allons devoir faire des choix tres difficiles .
i m going on a business trip .,je pars en voyage d affaire .
i m tired and i make a lot of mistakes when i m tired .,je suis fatigue et je fais beaucoup de fautes quand je suis fatigue .
i m sorry i lost my temper .,desole j ai perdu mon sang froid .
they are leaving japan tomorrow .,ils quittent le japon demain .
he is a little light for a sumo wrestler .,il est un peu leger pour un sumotori .
you re thin .,vous etes mince .
he is not as smart as his older brother .,il n est pas aussi intelligent que son frere aine .
he is apt to forget people s name .,il est capable d oublier le nom des gens .
he s a sucker for beautiful women .,les belles femmes le font craquer .
i m not good at negotiating .,je ne suis pas bon pour negocier .
i m not outgoing .,je ne suis pas extravertie .
they re not so bad .,ils ne sont pas si mauvais .
he is afraid of his own shadow .,il a peur de son ombre .
we re uninsured .,nous ne sommes pas assurees .
we re all infected .,nous sommes toutes infectees .
you re inconsiderate .,vous etes inconsideree .
we re winners .,nous sommes des gagneurs .
i m not in the office today .,je ne suis pas au bureau aujourd hui .
i am constantly forgetting people s names .,j oublie toujours le nom des gens .
i m not paranoid .,je ne suis pas paranoiaque .
i m sorry things didn t work out .,je suis desole que les choses n aient pas fonctionne .
i m sure that he will take part in the contest .,je suis sur qu il va participer a la competition .
you re a terrible person .,tu es une personne execrable .
we re not sure .,nous ne sommes pas sures .
you re not the only one that was hurt .,tu n es pas le seul a avoir ete blesse .
i m sorry i made you wait so long .,je suis desolee de vous avoir fait attendre si longtemps .
i m terrified of being alone in the dark .,je suis terrifie d etre seul dans le noir .
you re avoiding me .,tu m evites .
they re going to give me an estimate .,ils vont me donner un devis .
you re sleepy .,tu es endormie .
i m not paid to do that .,je ne suis pas payee pour faire cela .
i m not embarrassed .,je ne suis pas embarrasse .
you re very busy .,tu es tres occupe .
i am a very good chess player .,je suis un excellent joueur d echecs .
i m lazy .,je suis paresseuse .
i m not good at cooking .,je ne suis pas doue pour la cuisine .
he is lazy .,il est faineant .
i m meeting with tom tonight .,je rencontre tom ce soir .
you re very forward .,vous etes fort effrontes .
he is said to have been a good teacher .,on dit que c etait un bon professeur .
you re all happy .,vous etes tous heureux .
you re the only person i know who can probably answer this question .,vous etes la seule personne qui sait probablement repondre a cette question .
i m going to die .,je vais mourir .
you re very generous .,tu es tres genereux .
i m washing my hands because they re dirty .,je me lave les mains car elles sont sales .
they are running now .,ils courent maintenant .
i m pretty sure tom could do that .,je suis certain que tom pourrait le faire .
you re the most beautiful girl in the world .,vous etes la plus belle fille du monde .
i m not very busy today .,je ne suis pas tres occupee aujourd hui .
i m delighted to meet you .,je suis enchante de vous rencontrer .
you re not in charge .,ce n est pas vous qui dirigez .
you re lucky to have such a good job .,tu es chanceux d avoir un si bon travail .
i m glad i invited you .,je suis heureux de t avoir invitee .
i m declaring an emergency .,je lance un signal de detresse .
i m not saying that s wrong .,je ne dis pas que c est faux .
you re probably tired .,vous etes probablement fatigue .
he is afraid of becoming sick .,il a peur de devenir malade .
i m surprised to see you .,je suis etonnee de te voir .
he s always making such witty remarks !,il fait toujours des remarques pleines d esprit !
he s afraid of making mistakes .,il a peur de se tromper .
we re late .,nous sommes en retard .
i m no better at cooking than my mother .,je ne suis pas meilleur que ma mere pour la cuisine .
i m too tired to think .,je suis trop fatigue pour penser .
i m grateful .,je suis reconnaissante .
you re still alive .,vous etes toujours vivant .
they re stalling .,ils sont en train de temporiser .
you re going to miss your flight .,tu vas rater ton vol .
i m suddenly tired .,je suis soudainement fatigue .
i m a little bit jealous .,je suis un tantinet jalouse .
i am going out this afternoon .,je sors cet apres midi .
i m drinking a beer right now .,je bois une biere en ce moment meme .
he is off today .,il est en conge aujourd hui .
we aren t going to stay at that hotel again .,nous ne resterons plus dans cet hotel .
they re all barefoot .,ils sont tous pieds nus .
i am afraid of what the teacher will say .,j ai peur de ce que le professeur dira .
we re done .,nous en avons termine .
i m going to make some coffee . would you like some too ?,je vais faire du cafe . tu en veux aussi ?
you re prudent .,tu es prudent .
he is by far the wisest of the three .,il est de loin le plus sage des trois .
you are so stupid .,tu es tellement idiot !
i m as hungry as a bear .,je suis aussi affame qu un ours .
i m to blame for my son s failure .,je suis responsable de l echec de mon fils .
i m sure this is just a misunderstanding .,je suis sur que ce n est qu un malentendu .
you re the one who trained me .,c est toi qui m as entrainee .
we re not so confident .,nous ne sommes pas si confiants .
you re safe .,tu es sauve .
i m tired of homework .,je suis fatiguee des devoirs .
i m waiting for my mother .,j attends ma mere .
they re working .,ils travaillent .
i m interested in chess these days .,je m interesse actuellement aux echecs .
you re not normal .,tu n es pas normale .
i m sure if you put your mind to it you can do it .,je suis certain que si vous y consacrez votre esprit vous pouvez le faire .
i m friends with all those guys .,je suis ami avec tous ces gars la .
i m not leaving the two of you alone .,je ne vous laisse pas seuls tous les deux .
we re a family .,nous sommes une famille .
i m not fighting .,je ne suis pas en train de me battre .
you re the greatest .,tu es la meilleure .
you re cheating .,tu triches .
you are wavering .,vous hesitez .
we re meant to be together .,nous sommes censes etre ensemble .
i m not sure this is a good idea .,je ne suis pas certaine que ce soit une bonne idee .
i m off duty .,je ne suis pas en service .
i m lucky to have you as a friend .,je suis chanceuse de t avoir comme amie .
i m a little drunk .,je suis un peu bourree .
he is introverted .,il est introverti .
i m thorough .,je suis consciencieuse .
we are all eager to know the truth .,nous sommes tous avides de connaitre la verite .
i m considered a traitor to this country .,je suis considere comme traitre a ce pays .
i m more than a friend .,je suis plus qu un ami .
he s a volleyball player .,c est un joueur de volley ball .
i m sorry i didn t recognize you .,je suis desole je ne vous ai pas reconnue .
i m sort of tired .,je suis en quelque sorte fatigue .
you are late this morning .,vous etes en retard ce matin .
he is capable of doing it .,il est capable de le faire .
you re either with me or you re against me .,tu es soit avec soit contre moi .
he is always looking to the future .,il regarde toujours vers l avenir .
we re fascinated .,nous sommes fascines .
you re not looking at the whole picture .,tu ne regardes pas tout le paysage .
you re turning thirty .,vous entrez dans la trentaine .
i m so tired !,je suis tellement las !
i m not very confident .,je n ai pas trop confiance .
you re wasting my time .,vous etes en train de gaspiller mon temps .
i m hoarse from yelling so much .,je n ai plus de voix a force de crier .
they re typical young people .,c etaient des jeunes gens habituels .
we re going to a new bar tonight . do you want to come along ?,on va dans un nouveau bar ce soir . tu veux venir avec nous ?
we re not going home .,nous n allons pas a la maison .
you re the oldest .,tu es le plus vieux .
i m not making that up .,je ne l invente pas .
they re enjoying themselves .,ils s amusent .
i m turning thirty in october .,je vais avoir trente ans en octobre .
she s much better today than yesterday .,aujourd hui elle va beaucoup mieux qu hier .
you re the boss here .,tu es le patron ici .
i m sorry if i embarrassed you .,je suis desolee si je vous ai embarrasse .
i m tired of him bawling me out .,j en ai marre qu il m engueule .
i m glad i could help .,je suis heureux d avoir pu vous aider .
we re pooped .,nous sommes creves .
she is mad at me .,elle est en colere contre moi .
i m glad you could be here .,je suis contente que vous soyez la .
i m much younger than you .,je suis beaucoup plus jeune que toi .
i m a hard worker .,je suis un bourreau de travail .
we re all in the same situation .,nous sommes toutes dans la meme situation .
i m disgusted .,je suis degoute .
